Level,Deployment,StartTime,EndTime,Notes,Test,Redmine#,Todo,ReviewedBy,ReviewedDate
pressure,D00002,2014-06-17T06:00:01Z,2015-06-04T23:45:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-08-02T00:00:00Z
inductive_id,D00002,2014-06-17T06:00:01Z,2015-06-04T23:45:01Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: 0.0,lori,2017-08-02T00:00:00Z
inductive_id,D00002,2014-06-17T06:00:01Z,2015-06-04T23:45:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-08-02T00:00:00Z
ctdmo_seawater_pressure,D00002,2014-06-17T06:00:01Z,2015-06-04T23:45:01Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999.0,lori,2017-08-02T00:00:00Z
ctdmo_seawater_pressure,D00002,2014-06-17T06:00:01Z,2015-06-04T23:45:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,lori,2017-08-02T00:00:00Z
ctdmo_seawater_pressure,D00002,2014-06-17T06:00:01Z,2015-06-04T23:45:01Z,applies to one file,Global Range QC Test,,check: test triggered,lori,2017-08-02T00:00:00Z
ctdmo_seawater_pressure,D00002,2014-06-17T06:00:01Z,2015-06-04T23:45:01Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-08-02T00:00:00Z
ctdmo_seawater_conductivity,D00002,2014-06-17T06:00:01Z,2015-06-04T23:45:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,lori,2017-08-02T00:00:00Z
ctdmo_seawater_conductivity,D00002,2014-06-17T06:00:01Z,2015-06-04T23:45:01Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-08-02T00:00:00Z
conductivity,D00002,2014-06-17T06:00:01Z,2015-06-04T23:45:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-08-02T00:00:00Z
temperature,D00003,2015-06-06T22:45:01Z,2016-06-28T19:00:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-08-02T00:00:00Z
ctdmo_seawater_temperature,D00003,2015-06-06T22:45:01Z,2016-06-28T19:00:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = -2.0 global_max = 40.0,lori,2017-08-02T00:00:00Z
ctdmo_seawater_temperature,D00003,2015-06-06T22:45:01Z,2016-06-28T19:00:01Z,applies to one file,Spike QC Test,,check: test triggered,lori,2017-08-02T00:00:00Z
pressure_temp,D00003,2015-06-06T22:45:01Z,2016-06-28T19:00:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-08-02T00:00:00Z
density,D00003,2015-06-06T22:45:01Z,2016-06-28T19:00:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = 1000.0 global_max = 1100.0,lori,2017-08-02T00:00:00Z
density,D00003,2015-06-06T22:45:01Z,2016-06-28T19:00:01Z,applies to one file,Global Range QC Test,,check: test triggered,lori,2017-08-02T00:00:00Z
density,D00003,2015-06-06T22:45:01Z,2016-06-28T19:00:01Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-08-02T00:00:00Z
practical_salinity,D00003,2015-06-06T22:45:01Z,2016-06-28T19:00:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 42.0,lori,2017-08-02T00:00:00Z
practical_salinity,D00003,2015-06-06T22:45:01Z,2016-06-28T19:00:01Z,applies to one file,Spike QC Test,,check: test triggered,lori,2017-08-02T00:00:00Z
pressure,D00003,2015-06-06T22:45:01Z,2016-06-28T19:00:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-08-02T00:00:00Z
inductive_id,D00003,2015-06-06T22:45:01Z,2016-06-28T19:00:01Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: 0.0,lori,2017-08-02T00:00:00Z
inductive_id,D00003,2015-06-06T22:45:01Z,2016-06-28T19:00:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-08-02T00:00:00Z
ctdmo_seawater_pressure,D00003,2015-06-06T22:45:01Z,2016-06-28T19:00:01Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999.0,lori,2017-08-02T00:00:00Z
ctdmo_seawater_pressure,D00003,2015-06-06T22:45:01Z,2016-06-28T19:00:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,lori,2017-08-02T00:00:00Z
ctdmo_seawater_pressure,D00003,2015-06-06T22:45:01Z,2016-06-28T19:00:01Z,applies to one file,Global Range QC Test,,check: test triggered,lori,2017-08-02T00:00:00Z
ctdmo_seawater_conductivity,D00003,2015-06-06T22:45:01Z,2016-06-28T19:00:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,lori,2017-08-02T00:00:00Z
ctdmo_seawater_conductivity,D00003,2015-06-06T22:45:01Z,2016-06-28T19:00:01Z,applies to one file,Spike QC Test,,check: test triggered,lori,2017-08-02T00:00:00Z
ctdmo_seawater_conductivity,D00003,2015-06-06T22:45:01Z,2016-06-28T19:00:01Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-08-02T00:00:00Z
conductivity,D00003,2015-06-06T22:45:01Z,2016-06-28T19:00:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-08-02T00:00:00Z
